Longitude,Latitude,PB_Nreq_Cetin,PB_CSR%
-112.731,38.72,6.151,8.312
-112.508,38.72,8.091,9.577
-112.285,38.72,9.491,10.598
-112.061,38.72,10.115,11.091
-111.838,38.72,9.904,10.951
-111.614,38.72,8.817,10.155
-111.391,38.72,7.246,9.096
-111.168,38.72,5.289,7.923
-110.944,38.72,2.81,7.434
-110.721,38.72,1,7.434
-110.497,38.72,1,7.434
-112.955,38.902,2.684,7.434
-112.731,38.902,4.904,7.595
-112.508,38.902,7.201,8.982
-112.285,38.902,8.841,10.112
-112.061,38.902,9.768,10.808
-111.838,38.902,9.907,10.928
-111.614,38.902,9.526,10.662
-111.391,38.902,8.216,9.733
-111.168,38.902,6.294,8.506
-110.944,38.902,3.96,7.434
-110.721,38.902,1.478,7.434
-110.497,38.902,1,7.434
-110.274,38.902,1,7.434
-112.731,39.083,3.635,7.434
-112.508,39.083,5.819,8.097
-112.285,39.083,7.679,9.263
-112.061,39.083,8.958,10.18
-111.838,39.083,9.504,10.583
-111.614,39.083,9.29,10.442
-111.391,39.083,8.347,9.79
-111.168,39.083,6.756,8.792
-110.944,39.083,4.558,7.543
-110.721,39.083,2.084,7.434
-110.497,39.083,1,7.434
-110.274,39.083,1,7.434
-112.731,39.265,2.795,7.434
-112.508,39.265,4.878,7.533
-112.285,39.265,6.821,8.671
-112.061,39.265,8.491,9.787
-111.838,39.265,9.354,10.426
-111.614,39.265,9.074,10.255
-111.391,39.265,8.322,9.754
-111.168,39.265,6.792,8.789
-110.944,39.265,4.618,7.55
-110.721,39.265,2.299,7.434
-110.497,39.265,1,7.434
-110.274,39.265,1,7.434
-112.508,39.446,4.314,7.434
-112.285,39.446,6.594,8.485
-112.061,39.446,8.667,9.862
-111.838,39.446,9.605,10.56
-111.614,39.446,8.959,10.121
-111.391,39.446,8.02,9.502
-111.168,39.446,6.598,8.618
-110.944,39.446,4.557,7.486
-110.721,39.446,2.433,7.434
-110.497,39.446,1,7.434
-110.274,39.446,1,7.434
-110.05,39.446,1,7.434
-112.508,39.628,4.367,7.434
-112.285,39.628,6.777,8.558
-112.061,39.628,9.383,10.337
-111.838,39.628,11.005,11.632
-111.614,39.628,9.615,10.526
-111.391,39.628,7.904,9.362
-111.168,39.628,6.437,8.471
-110.944,39.628,4.658,7.502
-110.721,39.628,2.562,7.434
-110.497,39.628,1,7.434
-110.274,39.628,1,7.434
-112.508,39.809,4.973,7.507
-112.285,39.809,7.313,8.862
-112.061,39.809,10.313,10.997
-111.614,39.809,10.197,10.939
-111.391,39.809,8.226,9.533
-111.168,39.809,6.647,8.552
-110.944,39.809,4.809,7.558
-110.721,39.809,2.877,7.434
-110.497,39.809,1,7.434
-110.274,39.809,1,7.434
-110.05,39.809,1,7.434
-112.731,39.991,4.036,7.434
-112.508,39.991,5.878,7.971
-112.285,39.991,7.951,9.246
-112.061,39.991,10.572,11.149
-111.614,39.991,12.297,12.666
-111.391,39.991,9.466,10.383
-111.168,39.991,7.347,8.979
-110.944,39.991,5.453,7.885
-110.721,39.991,3.416,7.434
-110.497,39.991,1.447,7.434
-110.274,39.991,1,7.434
-110.05,39.991,1,7.434
-109.827,39.991,1,7.434
-112.955,40.173,3.242,7.434
-112.731,40.173,5.546,7.778
-112.508,40.173,7.685,9.047
-112.285,40.173,9.275,10.135
-112.061,40.173,11.12,11.568
-111.391,40.173,10.326,11.028
-111.168,40.173,8.067,9.441
-110.944,40.173,6.109,8.263
-110.721,40.173,4.061,7.434
-110.497,40.173,2.061,7.434
-110.274,40.173,1,7.434
-110.05,40.173,1,7.434
-109.827,40.173,1,7.434
-109.604,40.173,1,7.434
-112.955,40.354,4.599,7.434
-112.508,40.354,9.597,10.35
-112.285,40.354,11.029,11.469
-112.061,40.354,12.832,13.05
-111.614,40.354,13.099,13.36
-111.391,40.354,10.346,11.023
-111.168,40.354,8.272,9.561
-110.944,40.354,6.6,8.523
-110.721,40.354,4.81,7.548
-110.497,40.354,2.917,7.434
-110.274,40.354,1.327,7.434
-110.05,40.354,1,7.434
-109.827,40.354,1,7.434
-109.604,40.354,1,7.434
-109.38,40.354,1,7.434
-112.955,40.536,5.841,7.924
-112.508,40.536,11.239,11.629
-112.285,40.536,12.804,12.977
-112.061,40.536,15.869,16.162
-111.614,40.536,13.173,13.407
-111.391,40.536,10.239,10.917
-111.168,40.536,8.634,9.77
-110.944,40.536,7.196,8.88
-110.721,40.536,5.687,8.006
-110.497,40.536,3.759,7.434
-110.274,40.536,1.89,7.434
-110.05,40.536,1,7.434
-109.827,40.536,1,7.434
-109.604,40.536,1,7.434
-109.38,40.536,1,7.434
-112.955,40.717,6.395,8.248
-112.731,40.717,9.572,10.313
