Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.221,38.956,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.513121178
-111.129,38.957,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.036,38.957,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,38.957,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.852,38.957,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.759,38.956,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.667,38.956,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.575,38.956,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.482,38.955,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.39,38.955,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.298,38.954,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.792,39.015,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.7,39.016,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.607,39.018,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.515,39.019,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.423,39.02,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-112.33,39.021,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.576737265
-112.238,39.022,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.648936546
-112.145,39.023,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.72770614
-112.053,39.024,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.790876551
-111.961,39.025,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.844631307
-111.868,39.025,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.861315673
-111.776,39.026,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.851496332
-111.683,39.027,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.843945147
-111.591,39.027,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.805815613
-111.499,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.753158322
-111.406,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.688172973
-111.314,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.611746654
-111.221,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.533156793
-111.129,39.029,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-111.036,39.029,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.944,39.029,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.852,39.029,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.759,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
-110.667,39.028,Mean,***|,N/A,475,0,0,0,0,0,0,0.5,0.5
