Longitude,Latitude,DET_ana_Type,***Performance_Based***,PB_amax,PB_Mw,PB_FSliq_Cetin,PB_FSliq_IandB,PB_FSliq_Juang,PB_Nreq_Cetin,PB_Nreq_IandB,PB_Nreq_Juang,PB_ana_Type,PB_Return_P.,PB_CSR%
-113.233,38.674,Mean,***|,N/A,N/A,2.217,2.428,N/A,6.82,3.107,N/A,N/A,1033,8.62
-110.549,38.674,Mean,***|,N/A,N/A,2.638,2.79,N/A,4.426,1.127,N/A,N/A,1033,7.501
-110.213,38.674,Mean,***|,N/A,N/A,3.338,2.814,N/A,1.176,1,N/A,N/A,1033,7.434
-109.877,38.674,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.542,38.674,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.206,38.674,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-108.871,38.674,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-114.239,38.946,Mean,***|,N/A,N/A,2.68,2.814,N/A,4.208,1,N/A,N/A,1033,7.434
-113.904,38.946,Mean,***|,N/A,N/A,2.847,2.814,N/A,3.377,1,N/A,N/A,1033,7.434
-113.568,38.946,Mean,***|,N/A,N/A,2.794,2.814,N/A,3.632,1,N/A,N/A,1033,7.434
-113.233,38.946,Mean,***|,N/A,N/A,2.471,2.701,N/A,5.329,1.587,N/A,N/A,1033,7.749
-110.213,38.946,Mean,***|,N/A,N/A,2.951,2.814,N/A,2.876,1,N/A,N/A,1033,7.434
-109.877,38.946,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.542,38.946,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.206,38.946,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-108.871,38.946,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-114.239,39.218,Mean,***|,N/A,N/A,2.79,2.814,N/A,3.656,1,N/A,N/A,1033,7.434
-113.904,39.218,Mean,***|,N/A,N/A,2.965,2.814,N/A,2.814,1,N/A,N/A,1033,7.434
-113.568,39.218,Mean,***|,N/A,N/A,2.947,2.814,N/A,2.896,1,N/A,N/A,1033,7.434
-113.233,39.218,Mean,***|,N/A,N/A,2.693,2.814,N/A,4.138,1,N/A,N/A,1033,7.434
-112.897,39.218,Mean,***|,N/A,N/A,2.277,2.503,N/A,6.454,2.671,N/A,N/A,1033,8.362
-110.213,39.218,Mean,***|,N/A,N/A,2.742,2.814,N/A,3.886,1,N/A,N/A,1033,7.434
-109.877,39.218,Mean,***|,N/A,N/A,3.255,2.814,N/A,1.53,1,N/A,N/A,1033,7.434
-109.542,39.218,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-109.206,39.218,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-108.871,39.218,Mean,***|,N/A,N/A,3.38,2.814,N/A,1,1,N/A,N/A,1033,7.434
-114.239,39.49,Mean,***|,N/A,N/A,2.978,2.814,N/A,2.755,1,N/A,N/A,1033,7.434
-113.904,39.49,Mean,***|,N/A,N/A,3.029,2.814,N/A,2.519,1,N/A,N/A,1033,7.434
-113.568,39.49,Mean,***|,N/A,N/A,3.007,2.814,N/A,2.622,1,N/A,N/A,1033,7.434
-113.233,39.49,Mean,***|,N/A,N/A,2.742,2.814,N/A,3.889,1,N/A,N/A,1033,7.434
