Lon,Lat,D (m)
-111.713,39.84,1.13027
-111.953,39.902,0.86908
-111.873,39.902,1.4472
-111.793,39.902,3.75624
-111.713,39.902,1.77615
-111.632,39.902,1.09278
-111.953,39.964,0.8605
-111.873,39.964,1.42765
-111.793,39.964,3.04627
-111.713,39.964,3.07071
-111.632,39.964,1.72899
-111.552,39.964,0.96866
-111.953,40.026,0.76733
-111.873,40.026,1.1935
-111.793,40.026,2.25477
-111.713,40.026,4.44093
-111.632,40.026,3.32032
-111.552,40.026,1.31904
-111.873,40.088,1.05254
-111.793,40.088,1.87586
-111.713,40.088,3.18127
-111.632,40.088,3.0396
-111.552,40.088,3.0599
-111.472,40.088,1.08706
-111.873,40.149,0.86587
-111.793,40.149,1.22008
-111.713,40.149,1.67978
-111.632,40.149,2.4696
-111.552,40.149,4.33632
-111.472,40.149,1.24432
-111.873,40.211,0.75585
-111.793,40.211,1.04594
-111.713,40.211,1.72049
-111.632,40.211,4.51015
-111.552,40.211,1.95384
-111.472,40.211,0.95535
-111.873,40.273,0.82174
-111.793,40.273,1.06331
-111.713,40.273,1.88556
-111.632,40.273,4.49276
-111.552,40.273,1.30276
-111.873,40.335,1.10849
-111.793,40.335,1.51099
-111.713,40.335,2.85647
-111.632,40.335,2.56356
-111.552,40.335,1.1557
-112.034,40.396,0.76766
-111.953,40.396,1.09961
-111.873,40.396,1.59958
-111.793,40.396,2.26048
-111.713,40.396,3.91488
-111.632,40.396,1.30493
-112.034,40.458,0.91556
-111.953,40.458,1.4293
-111.873,40.458,2.85565
-111.793,40.458,3.28252
-111.713,40.458,2.26569
-111.632,40.458,1.05095
-112.034,40.52,0.96744
-111.953,40.52,1.53912
-111.873,40.52,3.59358
-111.793,40.52,3.74066
-111.713,40.52,2.07286
-112.034,40.582,0.88013
-111.953,40.582,1.22765
-111.873,40.582,2.19391
-111.793,40.582,4.75639
-111.713,40.582,1.76622
-112.355,40.644,0.56371
-112.274,40.644,0.83888
-112.194,40.644,0.8736
-112.114,40.644,0.78268
-112.034,40.644,0.91572
-111.953,40.644,1.45336
-111.873,40.644,2.27816
-111.793,40.644,4.65311
-111.713,40.644,1.35859
-112.355,40.705,0.707
-112.274,40.705,1.48936
-112.194,40.705,1.59419
-112.114,40.705,0.96665
-112.034,40.705,1.05026
-111.953,40.705,2.68148
-111.873,40.705,4.6797
-111.793,40.705,2.12167
-111.713,40.705,1.10002
-112.435,40.767,0.50989
-112.355,40.767,0.74246
-112.274,40.767,1.34552
-112.194,40.767,3.37709
-112.114,40.767,1.12361
-112.034,40.767,1.24182
