Long,Lat,DET_ana_Type,***Performance_Based***,PB_ana_Type,PB_Return_P.,PB_Cetin_Uncorr_Strain,Cetin_percent,PB_IandY_Uncorr_Strain,IandY_percent,PB_Cetin_Equiv_Strain,PB_IandY_Equiv_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-111.59,38.883,Mean,***|,N/A,1033,0.002859979,0.285997888,0,0,0.002859979,0,0.860162035,2.437174185
-111.405,38.884,Mean,***|,N/A,1033,0.00151333,0.151332977,0,0,0.00151333,0,0.677830016,2.142648291
-111.313,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.524860451,1.913554511
-111.221,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.683096162
-111.129,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.494548295
-111.036,38.885,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.30125671
-110.944,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.076862567
-110.852,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.901448506
-110.76,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.745489523
-110.667,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.601991789
-110.575,38.884,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.483,38.883,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-110.391,38.883,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.5
-112.883,38.941,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.615586252
-112.79,38.943,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.750538625
-112.698,38.944,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,0.922953579
-112.606,38.946,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.118870737
-112.514,38.947,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.369575507
-112.421,38.948,Mean,***|,N/A,1033,0,0,0,0,0,0,0.5,1.659039801
-112.329,38.949,Mean,***|,N/A,1033,0.001746009,0.174600854,0,0,0.001746009,0,0.532644378,1.901912314
-112.237,38.95,Mean,***|,N/A,1033,0.001281954,0.128195366,0,0,0.001281954,0,0.680938262,2.13134672
-112.144,38.951,Mean,***|,N/A,1033,0.002880084,0.288008356,0,0,0.002880084,0,0.823843334,2.363418715
