Long,Lat,Cetin_percent,IandY_percent,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-110.667,38.956,0.150093838,0,0.989788288,2.772193502
-110.575,38.956,0,0,0.750930806,2.360004912
-110.482,38.955,0,0,0.60239956,2.11243791
-110.39,38.955,0,0,0.5,1.767228214
-110.298,38.954,0,0,0.5,1.456369185
-112.792,39.015,0.165567154,0,0.586008466,1.975408171
-112.7,39.016,0.282589904,0,0.902897145,2.465961592
-112.607,39.018,0.386049404,0,1.216697988,2.904199633
-112.515,39.019,0.469683549,0.154160506,1.657515115,3.48132062
-112.423,39.02,0.533165594,0.247208073,2.209594966,4.132522678
-112.33,39.021,0.635046114,0.339892254,2.713101083,4.687862404
-112.238,39.022,0.735685863,0.409469324,3.245627998,5.231983259
-112.145,39.023,0.846657665,0.670827996,3.777084696,5.781682818
-112.053,39.024,0.990577958,0.776335366,4.125690581,6.140251195
-111.961,39.025,0.923298706,0.858823605,4.568252882,6.559372569
-111.868,39.025,0.906113975,0.825078732,4.698078154,6.69258003
-111.776,39.026,0.913526087,0.839057732,4.650777152,6.645588568
-111.683,39.027,0.910329173,0.829181101,4.721714557,6.729185799
-111.591,39.027,0.929232787,0.856249204,4.666068371,6.685013287
-111.499,39.028,0.963831398,0.711231878,4.477890342,6.536819681
-111.406,39.028,0.810361096,0.779037771,4.264485668,6.364357248
-111.314,39.028,0.875419468,0.674263592,3.922966302,6.050983532
-111.221,39.028,0.741433944,0.564957577,3.577083607,5.754848887
-111.129,39.029,0.626978756,0.468727113,3.19483555,5.424701915
-111.036,39.029,0.542695102,0.200290718,2.673799902,4.899700031
-110.944,39.029,0.441687679,0.287769713,2.284295731,4.49589578
-110.852,39.029,0.35864967,0.17124312,1.792960568,3.893034923
-110.759,39.028,0.233583264,0,1.524054297,3.561815531
-110.667,39.028,0.113575376,0,1.214395497,3.117563277
-110.574,39.028,0.197947796,0,0.854258903,2.542358196
-110.482,39.028,0,0,0.686576567,2.25344534
-110.39,39.027,0,0,0.523881453,1.972296002
-110.297,39.027,0,0,0.5,1.64578042
